[21/01/2020 0:08:11] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_gm], Params: [] 
[21/01/2020 0:08:17] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_gm], Params: [] 
[21/01/2020 0:08:50] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_gmspeed 5], Params: [] 
[21/01/2020 0:09:18] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:09:22] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_move_to], Params: [] 
[21/01/2020 0:09:24] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[21/01/2020 0:09:25] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[21/01/2020 0:09:32] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[21/01/2020 0:09:52] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:09:56] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[21/01/2020 0:10:05] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin5], Params: [] 
[21/01/2020 0:10:11] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin4], Params: [] 
[21/01/2020 0:10:20] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin3], Params: [] 
[21/01/2020 0:10:26] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_atmosphere_menu], Params: [ signsky dusk] 
[21/01/2020 0:10:29] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_atmosphere_menu], Params: [ signsky dawn] 
[21/01/2020 0:10:31] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_bighead], Params: [] 
[21/01/2020 0:10:40] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:10:45] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:10:47] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_create_item], Params: [] 
[21/01/2020 0:10:56] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_mass_create], Params: [] 
[21/01/2020 0:11:06] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:11:10] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin2], Params: [] 
[21/01/2020 0:11:17] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_mammon_find], Params: [ 1] 
[21/01/2020 0:11:25] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
