[21/01/2020 0:09:50] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:09:55] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin4], Params: [] 
[21/01/2020 0:10:06] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin3], Params: [] 
[21/01/2020 0:10:08] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin2], Params: [] 
[21/01/2020 0:10:08] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:10:42] --> GM: Jager_268477835, Target: [Leandro], Action: [admin_list_spawns], Params: [] 
[21/01/2020 0:10:56] --> GM: Jager_268477835, Target: [no-target], Action: [admin_gm], Params: [] 
[21/01/2020 0:11:05] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:11:09] --> GM: Jager_268477835, Target: [no-target], Action: [admin_list_spawns], Params: [] 
[21/01/2020 0:11:40] --> GM: Jager_268477835, Target: [no-target], Action: [admin_gm], Params: [] 
[21/01/2020 0:11:48] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:11:54] --> GM: Jager_268477835, Target: [no-target], Action: [admin_ride_wyvern], Params: [] 
[21/01/2020 0:15:53] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:16:05] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin2], Params: [] 
[21/01/2020 0:16:25] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:16:27] --> GM: Jager_268477835, Target: [no-target], Action: [admin_move_to], Params: [] 
[21/01/2020 0:16:29] --> GM: Jager_268477835, Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[21/01/2020 0:16:31] --> GM: Jager_268477835, Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[21/01/2020 0:16:32] --> GM: Jager_268477835, Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[21/01/2020 0:16:59] --> GM: Jager_268477835, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:17:31] --> GM: Jager_268477835, Target: [Balauru], Action: [admin_edit_character], Params: [] 
[21/01/2020 0:17:47] --> GM: Jager_268477835, Target: [Balauru], Action: [admin_edit_character], Params: [] 
[21/01/2020 0:18:01] --> GM: Jager_268477835, Target: [Balauru], Action: [admin_changelvl], Params: [ 8] 
[21/01/2020 0:18:19] --> GM: Jager_268477835, Target: [Jager], Action: [admin_edit_character], Params: [] 
[21/01/2020 0:19:43] --> GM: Jager_268477835, Target: [Jager], Action: [admin_setclass], Params: [] 
[21/01/2020 0:19:59] --> GM: Jager_268477835, Target: [Jager], Action: [admin_current_player], Params: [] 
