[05/03/2020 00:18:28,346] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50000], Params: []
[05/03/2020 00:19:24,229] '---': GM: Arcane(268477770), Target: [Kunda Watchman], Command: [admin_show_droplist], Params: [ 50000]
[05/03/2020 21:11:50,405] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50002], Params: []
[05/03/2020 21:12:05,278] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50003], Params: []
[05/03/2020 21:12:19,477] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50004], Params: []
[05/03/2020 21:12:31,963] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50005], Params: []
[05/03/2020 21:12:43,101] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50006], Params: []
[05/03/2020 21:12:54,774] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50007], Params: []
[05/03/2020 21:13:31,557] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50008], Params: []
[05/03/2020 21:13:46,607] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50008], Params: []
[05/03/2020 21:13:57,533] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50009], Params: []
[05/03/2020 21:14:54,687] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50009], Params: []
[05/03/2020 21:14:59,102] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[05/03/2020 21:15:00,136] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin5], Params: []
[05/03/2020 21:15:00,708] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin4], Params: []
[05/03/2020 21:15:02,431] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_cache_reload_file], Params: []
[05/03/2020 21:15:07,851] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50009], Params: []
[05/03/2020 21:16:24,804] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50009], Params: []
[05/03/2020 21:16:38,534] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn 50008], Params: []
[05/03/2020 21:31:57,791] '---': GM: Arcane(268477770), Target: [Zofan Worker], Command: [admin_list_spawns], Params: [ 50005 -1 213798]
[05/03/2020 21:46:57,574] '---': GM: Arcane(268477770), Target: [Zofan Engineer], Command: [admin_spawn icy], Params: []
