[08/03/2020 23:18:30,681] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[08/03/2020 23:18:32,350] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[08/03/2020 23:18:33,764] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[08/03/2020 23:18:35,178] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[08/03/2020 23:18:39,617] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 9822 1]
[08/03/2020 23:21:22,543] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[08/03/2020 23:21:24,003] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[08/03/2020 23:21:25,154] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[08/03/2020 23:21:27,107] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: []
[08/03/2020 23:21:31,426] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: [ ; heavens ;0]
[08/03/2020 23:21:40,219] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_createForm], Params: [ 6696]
[08/03/2020 23:21:45,228] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 6696 1]
[08/03/2020 23:22:17,036] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[08/03/2020 23:22:18,284] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[08/03/2020 23:22:19,599] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: []
[08/03/2020 23:22:24,429] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: [ ; divider ;0]
[08/03/2020 23:22:28,205] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_createForm], Params: [ 6372]
[08/03/2020 23:46:53,638] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[08/03/2020 23:46:55,073] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[08/03/2020 23:46:56,514] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[08/03/2020 23:47:00,853] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 9825 1]
[08/03/2020 23:51:22,841] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[08/03/2020 23:53:44,236] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[08/03/2020 23:53:47,343] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[08/03/2020 23:53:48,202] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[08/03/2020 23:53:49,459] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: []
[08/03/2020 23:53:59,332] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: [ ; heavens
heavens ;0]
[08/03/2020 23:54:10,645] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_searchitem], Params: [ ; divider ;0]
[08/03/2020 23:54:13,054] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_createForm], Params: [ 6372]
[08/03/2020 23:54:14,799] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 6372 1]
