[09/03/2020 21:12:01,815] '---': GM: Arcane(268477770), Target: [Relune], Command: [admin_admin], Params: []
[09/03/2020 21:12:05,058] '---': GM: Arcane(268477770), Target: [Relune], Command: [admin_enchant], Params: []
[09/03/2020 21:12:10,445] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setun], Params: [ 0]
[09/03/2020 21:12:11,105] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setew], Params: []
[09/03/2020 21:12:18,237] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setew], Params: [ 0]
[09/03/2020 21:14:52,008] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[09/03/2020 21:15:01,096] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_help], Params: [ help/main_menu.htm]
[09/03/2020 21:15:06,850] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_gmshop], Params: []
[09/03/2020 21:15:08,101] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[09/03/2020 21:15:08,905] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_create_item], Params: []
[09/03/2020 21:15:12,464] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_create_item], Params: [ 9823 0]
[09/03/2020 21:15:21,731] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_gmshop], Params: []
[09/03/2020 21:15:23,171] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[09/03/2020 21:15:24,012] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_create_item], Params: []
[09/03/2020 21:15:28,390] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_create_item], Params: [ 9823 1]
[09/03/2020 21:16:57,486] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[09/03/2020 21:16:58,658] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_create_item], Params: []
[09/03/2020 21:17:03,405] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_create_item], Params: [ 9824 1]
[09/03/2020 22:55:36,150] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[09/03/2020 22:55:37,851] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[09/03/2020 22:55:42,718] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 9817 1]
[09/03/2020 22:57:20,268] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[09/03/2020 22:57:24,244] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_find_character], Params: []
[09/03/2020 22:57:25,455] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_character_info], Params: [ Arcane]
[09/03/2020 22:57:28,798] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setclass], Params: []
[09/03/2020 22:57:39,550] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setclass], Params: [ 91]
[09/03/2020 22:59:19,237] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[09/03/2020 22:59:20,904] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[09/03/2020 22:59:22,767] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[09/03/2020 22:59:28,061] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 6365 1]
