[13/02/2020 20:24:20,442] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_spawn 26004 1], Params: []
[13/02/2020 20:24:23,340] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[13/02/2020 20:24:24,653] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[13/02/2020 20:24:30,720] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 26004 1]
[13/02/2020 20:25:33,092] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[13/02/2020 20:25:34,779] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[13/02/2020 20:25:40,244] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 26008 1]
[13/02/2020 20:28:16,078] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[13/02/2020 20:28:17,577] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[13/02/2020 20:28:29,014] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 26008 1]
[13/02/2020 20:28:48,874] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[13/02/2020 20:28:52,332] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[13/02/2020 20:28:57,334] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 26008 1]
[13/02/2020 20:29:07,949] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[13/02/2020 20:29:09,655] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[13/02/2020 20:29:14,824] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 26004 1]
[13/02/2020 20:30:45,833] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[13/02/2020 20:30:47,330] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[13/02/2020 20:30:55,586] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 26004 1]
[13/02/2020 20:33:29,219] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[13/02/2020 20:33:30,780] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[13/02/2020 20:33:41,575] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 26004 1]
[13/02/2020 20:33:48,849] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[13/02/2020 20:33:50,067] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[13/02/2020 20:33:54,600] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 26008 1]
[13/02/2020 22:25:23,041] '---': GM: Arcane(268477770), Target: [Breka Orc Archer], Command: [admin_admin], Params: []
[13/02/2020 22:25:25,954] '---': GM: Arcane(268477770), Target: [Breka Orc Archer], Command: [admin_move_to], Params: []
[13/02/2020 22:25:53,586] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/others/dimrift.htm]
[13/02/2020 22:25:56,522] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ -114790 -180576 -6756]
[13/02/2020 22:27:22,145] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_admin], Params: []
[13/02/2020 22:27:24,201] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_move_to], Params: []
[13/02/2020 22:27:26,192] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_help], Params: [ tele/others/arenas.htm]
[13/02/2020 22:27:32,362] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_help], Params: [ teleports.htm]
[13/02/2020 22:27:35,858] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_help], Params: [ tele/other.htm]
[13/02/2020 22:27:43,029] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_help], Params: [ tele/others/goodies.htm]
[13/02/2020 22:27:54,130] '---': GM: Arcane(268477770), Target: [Rift Post Recruit], Command: [admin_move_to], Params: [ 49552 116839 -2131]
[13/02/2020 22:28:28,508] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[13/02/2020 22:28:30,811] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[13/02/2020 22:28:35,605] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/other.htm]
[13/02/2020 22:28:37,867] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/others/goodies.htm]
[13/02/2020 22:28:41,361] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 117125 145044 -2538]
[13/02/2020 22:29:12,848] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[13/02/2020 22:29:17,288] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[13/02/2020 22:29:20,906] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[13/02/2020 22:29:22,037] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[13/02/2020 22:29:37,913] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[13/02/2020 22:29:39,601] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[13/02/2020 22:29:44,392] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[13/02/2020 22:29:45,868] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[13/02/2020 22:53:51,902] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[13/02/2020 22:53:53,831] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[13/02/2020 22:53:57,409] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/other.htm]
[13/02/2020 22:53:59,736] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/raid.htm]
[13/02/2020 22:54:02,084] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/raid/raid_80.htm]
[13/02/2020 22:54:05,095] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 80000 -55000 -6000]
[13/02/2020 22:54:24,289] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[13/02/2020 22:54:26,077] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[13/02/2020 22:54:28,868] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/other.htm]
[13/02/2020 22:54:30,619] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/raid.htm]
[13/02/2020 22:54:32,384] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/raid/raid_80.htm]
[13/02/2020 22:54:39,407] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 113000 -76000 200]
[13/02/2020 22:55:25,216] '---': GM: Arcane(268477770), Target: [Holy Grail], Command: [admin_admin], Params: []
