[18/02/2020 20:56:28,733] '---': GM: Arcane(268477770), Target: [Maximilian], Command: [admin_admin], Params: []
[18/02/2020 20:56:34,098] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin2], Params: []
[18/02/2020 20:56:44,367] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ setlevel]
[18/02/2020 20:56:51,352] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ setlevel 11]
[18/02/2020 20:57:03,185] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ info]
[18/02/2020 20:57:12,340] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[18/02/2020 20:57:14,019] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin2], Params: []
[18/02/2020 20:57:18,823] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ create]
[18/02/2020 20:57:27,455] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_siege], Params: []
[18/02/2020 20:57:34,696] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin2], Params: []
[18/02/2020 20:57:39,280] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ create test]
[18/02/2020 20:57:52,750] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ create test1]
[18/02/2020 20:58:01,165] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ setlevel 9]
[18/02/2020 20:58:11,768] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_pledge], Params: [ rep 9999]
[18/02/2020 20:58:47,394] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[18/02/2020 20:58:49,366] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[18/02/2020 20:59:06,815] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 57 2000000000]
[18/02/2020 20:59:24,795] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[18/02/2020 20:59:27,282] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[18/02/2020 21:00:02,452] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 57 2000000000]
[18/02/2020 21:03:40,685] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[18/02/2020 21:04:53,774] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_help], Params: [ gmshop/QuestItems.htm]
[18/02/2020 21:04:56,246] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_buy], Params: [ 300542]
[18/02/2020 21:09:23,424] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[18/02/2020 21:09:26,303] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[18/02/2020 21:09:34,552] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 57 3000000000]
[18/02/2020 21:10:11,588] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[18/02/2020 21:10:13,164] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[18/02/2020 21:10:20,034] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 57 2000000000]
[18/02/2020 21:11:32,227] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[18/02/2020 21:11:33,790] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin2], Params: []
