[01/11/2021 22:16:13,918] '---': GM: Jager(268477835), Target: [Orator of Revelations], Command: [admin_gmshop], Params: []
[01/11/2021 22:16:16,829] '---': GM: Jager(268477835), Target: [Orator of Revelations], Command: [admin_help], Params: [ gmshop/Armors.htm]
[01/11/2021 22:16:18,694] '---': GM: Jager(268477835), Target: [Orator of Revelations], Command: [admin_help], Params: [ gmshop/bgradea.htm]
[01/11/2021 22:16:21,311] '---': GM: Jager(268477835), Target: [Orator of Revelations], Command: [admin_buy], Params: [ 9074]
[01/11/2021 22:37:08,999] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[01/11/2021 22:37:12,976] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[01/11/2021 22:37:14,545] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradea.htm]
[01/11/2021 22:37:16,136] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9074]
[01/11/2021 22:37:43,796] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[01/11/2021 22:37:52,535] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[01/11/2021 22:37:55,581] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[01/11/2021 22:38:00,427] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_enchant], Params: []
[01/11/2021 22:38:14,622] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_setec], Params: [ 10]
[01/11/2021 22:38:29,801] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_setec], Params: [ 20]
[01/11/2021 22:38:41,959] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_setec], Params: [ 32]
[01/11/2021 23:20:23,363] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[01/11/2021 23:20:38,506] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[01/11/2021 23:20:40,221] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_show_characters], Params: [ 0]
[01/11/2021 23:20:41,810] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Yiria]
[01/11/2021 23:20:43,736] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_recall_char_menu], Params: [ Yiria]
[01/11/2021 23:20:52,175] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_gmshop], Params: []
[01/11/2021 23:20:54,180] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[01/11/2021 23:20:56,229] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[01/11/2021 23:21:09,607] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_buy], Params: [ 9029]
[01/11/2021 23:21:53,474] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_gmshop], Params: []
[01/11/2021 23:21:55,608] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[01/11/2021 23:21:57,116] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[01/11/2021 23:21:58,476] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_buy], Params: [ 9027]
[01/11/2021 23:23:18,377] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_admin], Params: []
[01/11/2021 23:23:20,454] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_create_item], Params: []
[01/11/2021 23:23:22,358] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_admin], Params: []
[01/11/2021 23:23:26,042] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_create_item], Params: []
[01/11/2021 23:23:27,524] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_admin], Params: []
[01/11/2021 23:23:29,469] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_gmshop], Params: []
[01/11/2021 23:23:30,868] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[01/11/2021 23:23:32,061] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[01/11/2021 23:23:38,905] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_buy], Params: [ 9029]
[01/11/2021 23:23:59,140] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_admin], Params: []
[01/11/2021 23:24:06,781] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_enchant], Params: []
[01/11/2021 23:24:11,824] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_setew], Params: [ 20]
[01/11/2021 23:24:20,604] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_setew], Params: [ 20]
[01/11/2021 23:24:45,597] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_setew], Params: [ 1]
[01/11/2021 23:25:00,173] '---': GM: Jager(268477835), Target: [Yiria], Command: [admin_setew], Params: [ 32]
[01/11/2021 23:25:07,656] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_setew], Params: [ 20]
[01/11/2021 23:25:39,815] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[01/11/2021 23:25:41,553] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/pets.htm]
[01/11/2021 23:25:43,205] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 3003]
[01/11/2021 23:26:07,860] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[01/11/2021 23:26:11,606] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 3002]
[01/11/2021 23:36:20,138] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[01/11/2021 23:36:22,331] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[01/11/2021 23:36:24,027] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[01/11/2021 23:36:37,160] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9028]
[01/11/2021 23:36:50,314] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[01/11/2021 23:36:51,925] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[01/11/2021 23:36:52,970] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[01/11/2021 23:36:54,099] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9027]
[01/11/2021 23:37:28,691] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin], Params: []
[01/11/2021 23:37:30,653] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_enchant], Params: []
[01/11/2021 23:37:39,857] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_setew], Params: [ 20]
[01/11/2021 23:37:45,790] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_setew], Params: [ 32]
