[03/11/2021 00:00:27,894] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:00:35,750] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71022]
[03/11/2021 00:01:29,199] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:01:33,532] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71025]
[03/11/2021 00:01:37,635] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:01:40,645] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71022]
[03/11/2021 00:02:37,072] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:02:40,153] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[03/11/2021 00:02:41,484] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/agradew.htm]
[03/11/2021 00:02:43,486] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9036]
[03/11/2021 00:03:17,654] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:03:19,266] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[03/11/2021 00:03:20,835] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/agradea.htm]
[03/11/2021 00:03:22,822] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9065]
[03/11/2021 00:04:28,061] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:04:29,191] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:04:29,714] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[03/11/2021 00:04:31,849] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_enchant], Params: []
[03/11/2021 00:04:37,120] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_setew], Params: [ 32]
[03/11/2021 00:04:48,457] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_setec], Params: [ 32]
[03/11/2021 00:05:19,438] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:05:29,952] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[03/11/2021 00:05:56,005] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[03/11/2021 00:06:03,551] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3001]
