[12/03/2020 21:13:50,802] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 21:13:54,551] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[12/03/2020 21:14:02,544] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/other.htm]
[12/03/2020 21:14:11,189] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/raid.htm]
[12/03/2020 21:14:12,779] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/raid/raid_special.htm]
[12/03/2020 21:14:17,149] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ 176913 115677 -7704]
[12/03/2020 21:14:54,136] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 21:14:56,716] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[12/03/2020 21:14:58,896] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/other.htm]
[12/03/2020 21:15:02,506] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/others/dvc.htm]
[12/03/2020 21:15:05,199] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ 154623 121134 -3809]
[12/03/2020 21:15:42,644] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_admin], Params: []
[12/03/2020 21:15:44,882] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_spawn_monster], Params: []
[12/03/2020 21:15:54,654] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_admin], Params: []
[12/03/2020 21:16:00,100] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_find_character], Params: []
[12/03/2020 21:16:02,347] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_admin2], Params: []
[12/03/2020 21:16:05,464] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_admin], Params: []
[12/03/2020 21:16:08,609] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_create_item], Params: []
[12/03/2020 21:16:10,578] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_searchitem], Params: []
[12/03/2020 21:16:15,647] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_searchitem], Params: [ ; Portal ;0]
[12/03/2020 21:16:17,200] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_createForm], Params: [ 3865]
[12/03/2020 21:16:20,676] '---': GM: Jager(268477835), Target: [Heart of Warding], Command: [admin_create_item], Params: [ 3865 1]
[12/03/2020 21:16:51,718] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 21:16:52,845] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[12/03/2020 21:16:54,360] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[12/03/2020 21:16:55,742] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns/dion.htm]
[12/03/2020 21:17:06,024] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ 16028 142329 -2697]
[12/03/2020 22:10:59,082] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 22:11:01,199] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_spawn_monster], Params: []
[12/03/2020 22:11:03,488] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 22:11:05,327] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[12/03/2020 22:11:38,318] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 72606 1]
[12/03/2020 22:22:11,979] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 22:22:13,408] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[12/03/2020 22:22:19,311] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 72606 1]
[12/03/2020 22:26:52,418] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 22:26:53,694] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[12/03/2020 22:26:58,669] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 72606 1]
[12/03/2020 22:33:52,739] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[12/03/2020 22:33:54,335] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[12/03/2020 22:34:08,650] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 9819 1]
