[12/10/2024 21:34:24,344] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_gmshop], Params: []
[12/10/2024 21:34:37,945] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_buy], Params: [ 3001]
[12/10/2024 21:34:57,505] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_gmshop], Params: []
[12/10/2024 21:35:03,872] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_buy], Params: [ 300511]
[12/10/2024 22:18:12,997] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_admin], Params: []
[12/10/2024 22:18:28,137] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_admin2], Params: []
[12/10/2024 22:18:35,414] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_admin], Params: []
[12/10/2024 22:18:50,691] '---': GM: Jager(268477835), Target: [Bernardo], Command: [admin_enchant], Params: []
[12/10/2024 22:19:13,662] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_setew], Params: [ 64]
[12/10/2024 23:13:55,888] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:13:58,712] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/Armors.htm]
[12/10/2024 23:14:00,597] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/agradea.htm]
[12/10/2024 23:14:04,216] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 9063]
[12/10/2024 23:14:26,522] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:14:28,040] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/Armors.htm]
[12/10/2024 23:14:29,930] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/agradea.htm]
[12/10/2024 23:14:31,773] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 9064]
[12/10/2024 23:15:05,956] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:15:08,167] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/sets.htm]
[12/10/2024 23:15:22,404] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 9113]
[12/10/2024 23:16:01,929] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:16:04,290] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/Jewels.htm]
[12/10/2024 23:16:06,722] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 9126]
[12/10/2024 23:17:11,529] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:17:14,571] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[12/10/2024 23:17:15,875] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/agradew.htm]
[12/10/2024 23:17:22,482] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 9036]
[12/10/2024 23:18:51,115] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:18:53,439] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ gmshop/sets.htm]
[12/10/2024 23:18:56,852] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 9111]
[12/10/2024 23:20:02,609] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
[12/10/2024 23:20:13,209] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_buy], Params: [ 300511]
[12/10/2024 23:23:58,742] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_admin], Params: []
[12/10/2024 23:24:01,869] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_enchant], Params: []
[12/10/2024 23:24:07,341] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seteh], Params: [ 32]
[12/10/2024 23:24:09,342] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setba], Params: [ 32]
[12/10/2024 23:24:12,001] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seten], Params: [ 32]
[12/10/2024 23:24:14,295] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setec], Params: [ 32]
[12/10/2024 23:24:15,455] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setes], Params: [ 32]
[12/10/2024 23:24:16,541] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setre], Params: [ 32]
[12/10/2024 23:24:17,533] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setle], Params: [ 32]
[12/10/2024 23:24:18,926] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seteg], Params: [ 32]
[12/10/2024 23:24:20,252] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setel], Params: [ 32]
