[14/10/2024 21:21:31,006] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin], Params: []
[14/10/2024 21:21:40,710] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin2], Params: []
[14/10/2024 21:21:45,172] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_pledge], Params: [ info]
[14/10/2024 21:21:45,981] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_pledge], Params: [ info]
[14/10/2024 21:21:50,513] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_char_manage], Params: []
[14/10/2024 21:21:52,848] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin], Params: []
[14/10/2024 21:22:05,590] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_list_spawns], Params: [ 1]
[14/10/2024 21:22:14,903] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin], Params: []
[14/10/2024 21:22:25,759] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin3], Params: []
[14/10/2024 21:22:26,905] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin4], Params: []
[14/10/2024 21:22:35,529] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_server_updates], Params: []
[14/10/2024 21:22:38,059] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin], Params: []
[14/10/2024 21:22:40,175] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin4], Params: []
[14/10/2024 21:22:48,926] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin3], Params: []
[14/10/2024 21:23:11,002] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin2], Params: []
[14/10/2024 21:23:15,907] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin], Params: []
[14/10/2024 21:23:17,612] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin5], Params: []
[14/10/2024 21:23:26,375] '---': GM: Jager(268477835), Target: [Remy], Command: [admin_admin4], Params: []
[14/10/2024 21:33:40,617] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[14/10/2024 21:33:43,070] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:33:54,659] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:33:56,138] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[14/10/2024 21:33:57,095] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
