[16/03/2020 18:57:24,708] '---': GM: Jager(268477835), Target: [Nunu], Command: [admin_admin], Params: []
[16/03/2020 18:57:26,253] '---': GM: Jager(268477835), Target: [Nunu], Command: [admin_move_to], Params: []
[16/03/2020 18:58:34,064] '---': GM: Jager(268477835), Target: [Nunu], Command: [admin_move_to], Params: [ -116000 -160000 -116000]
[16/03/2020 18:58:53,304] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 18:58:54,813] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[16/03/2020 18:58:57,137] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 18:58:59,268] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 18:59:13,519] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Kindred]
[16/03/2020 18:59:15,346] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Kindred]
[16/03/2020 18:59:19,408] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 18:59:20,616] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 18:59:30,482] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Sorceres]
[16/03/2020 18:59:33,010] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Sorceres]
[16/03/2020 18:59:48,876] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 18:59:51,128] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:00:18,490] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ FortuneTeller]
[16/03/2020 19:00:21,463] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ FortuneTeller]
[16/03/2020 19:05:25,055] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 19:05:29,465] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:05:30,625] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Spartacus]
[16/03/2020 19:05:32,109] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_goto_char_menu], Params: [ Spartacus]
[16/03/2020 19:05:35,779] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 19:05:38,344] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:05:39,764] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Spartacus]
[16/03/2020 19:05:41,267] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_recall_char_menu], Params: [ Spartacus]
[16/03/2020 19:06:02,152] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 19:06:08,860] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:06:14,990] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ FortuneTeller]
[16/03/2020 19:06:16,395] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ FortuneTeller]
[16/03/2020 19:06:17,482] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 19:06:18,676] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:06:22,882] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Sorceres]
[16/03/2020 19:06:24,834] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Sorceres]
[16/03/2020 19:06:25,888] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 19:06:28,362] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:06:31,064] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Kindred]
[16/03/2020 19:06:32,914] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Kindred]
[16/03/2020 19:06:33,928] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[16/03/2020 19:06:35,796] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[16/03/2020 19:06:42,896] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Astraea]
[16/03/2020 19:06:44,282] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Astraea]
