# route_id;npc_id;move_point;chatText;move_x;move_y;move_z;delay;running

1;100203;1;NULL;-86026;241268;-3755;1;True
1;100203;2;NULL;-87538;239531;-3648;1;True
1;100203;3;NULL;-89510;238911;-3720;1;True
1;100203;4;NULL;-91004;238686;-3720;1;True
1;100203;5;NULL;-92143;238098;-3664;1;True
1;100203;6;NULL;-93380;236902;-3648;1;True
1;100203;7;NULL;-94387;235907;-3586;1;True
1;100203;8;NULL;-95293;235717;-3488;1;True
1;100203;9;NULL;-94387;235907;-3586;1;True
1;100203;10;NULL;-93380;236902;-3648;1;True
1;100203;11;NULL;-92143;238098;-3664;1;True
1;100203;12;NULL;-91004;238686;-3720;1;True
1;100203;13;NULL;-89510;238911;-3720;1;True
1;100203;14;NULL;-87538;239531;-3648;1;True
